source_id,title,publisher,published_date,accessed_date,url,claim_supported,evidence_type,confidence,supporting_excerpt,limitations,notes
L01,"Lotus Health nabs $35M for AI doctor that sees patients for free",TechCrunch,2026-02-03,2026-07-07,https://techcrunch.com/2026/02/03/lotus-health-nabs-35m-for-ai-doctor-that-sees-patients-for-free/,"Founding story; $35M Series A led by CRV/Kleiner Perkins; free 24/7 50-language care; CEO quote on monetization being undecided",verified_fact,high,"Dhaliwal said that eventual business models may include sponsored content or subscriptions, but the current focus remains entirely on product development and attracting patients rather than revenue.","Single reporter; no independent financial verification of round size beyond company disclosure","First-person CEO quote is the clearest public statement that monetization was undecided at raise time"
L02,"The Robinhood of Primary Care? Lotus Health AI Raises $35M to Make Doctor Visits Free",HIT Consultant,2026-02-05,2026-07-07,https://hitconsultant.net/2026/02/05/lotus-health-ai-raises-35m-free-primary-care/,"Premium sponsorships as monetization model; comparison to ad-supported consumer platforms",company_claim,medium,"monetized instead through 'premium sponsorships' inside the app-a model designed to align incentives toward health rather than billing codes","Reporter's framing and comparison to Google/Instagram is editorial interpretation, not a company statement","Explicitly flags critic concerns re: data privacy and commercial influence"
L03,"Lotus Health AI Raises $35M Series A to Offer Free, Insurance-Free Doctor Visits",HLTH,2026-02-05,2026-07-07,https://hlth.com/insights/news/lotus-health-ai-raises-35m-series-a-to-offer-free-insurance-free-doctor-visits-2026-02-05,"Premium sponsorships language; stated intent to realign incentives toward preventive care",company_claim,medium,"the company monetizes through 'premium sponsorships' embedded within the app, a strategy it says is intended to realign incentives away from procedure volume and toward preventive and continuous care","Appears to be derived from same press release as other outlets; not independently verified","Notes sponsorship model as 'a key point of debate' re: privacy and influence"
L04,"AI Primary Care Shifts to Free Model as Lotus Health Raises $35M Across 50-State Licensing",The Meridiem,2026-02-03,2026-07-07,https://themeridiem.com/ai-machine-learning/2026/2/3/ai-primary-care-shifts-to-free-model-as-lotus-health-raises-35m-across-50-state-licensing,"Skeptical analysis of unproven unit economics; venture-subsidized acquisition strategy framing",expert_opinion,medium,"Business model remains venture arbitrage, not sustainable economics... Eventual models include 'sponsored content or subscriptions'-translation: To be determined.","Opinion/analysis piece, not a primary source; author's own interpretive framing throughout","Useful skeptical counterpoint; explicitly says unit economics are unvalidated"
L05,"Lotus Health AI: Making healthcare free",Unicorner (read.unicorner.news),2026-02-16,2026-07-07,https://read.unicorner.news/p/lotus-health-ai,"Founder background (Dil Mil, Union Metrics); product mechanics summary",company_claim,medium,"Lotus's business model is perhaps its most ambitious feature. The company is pursuing a model where it can keep its product free for patients, which may include sponsored content or subscriptions.","Newsletter/blog analysis, secondary source summarizing other coverage","Corroborates founder bio details found elsewhere"
L06,"Lotus AI - Your AI Doctor, Powered by Real Physicians (homepage)",Lotus Health AI (company site),2026-07-07,2026-07-07,https://lotus.ai/,"Product description, data types connected, wearables supported, backing/credibility claims",company_claim,high,"Backed by Kleiner Perkins, LEAD.VC (Adidas Family Office), and other world-class funds-plus founders & executives from Oura, Clover Health, Everly Health, Commure, and Forward.","Primary company source but inherently self-promotional; no independent verification of all backer claims","Site includes LLM-oriented structured facts page; makes no mention of ads/sponsors in FAQ"
L07,"What kinds of data does Lotus Health AI collect and use?",Lotus Health Support (Intercom help center),2025-06-21,2026-07-07,https://help.lotus.ai/en/articles/11636649-what-kinds-of-data-does-lotus-health-ai-collect-and-use,"Data types integrated: EHRs, wearables, fitness apps, genetic tests, insurance claims",company_claim,high,"Lotus integrates data from Electronic Health Records (EHRs), wearable devices (like smartwatches and fitness trackers), fitness apps, genetic tests, nutrition apps, and insurance claims","Help-center article; no sponsorship/advertising content mentioned",N/A
L08,"Lotus Health AI App - App Store (main listing)",Apple App Store,2026-06-15,2026-07-07,https://apps.apple.com/us/app/lotus-health-ai/id6736791154,"Live product description; App Privacy disclosure; rating 4.4/160-180; no mention of ads/sponsors in description","verified_fact","high","Your data is never sold to third parties... Ratings & Reviews 4.4 out of 5, 160 Ratings","App Store snapshot at time of access; rating count varies by locale/page load (160 vs 180 seen)","App Privacy label shows Health & Fitness, Contact Info, Identifiers, Diagnostics as linked data; Usage Data as not-linked"
L09,"Lotus Just Raised $41M",Healthcare IT Today,2026-02-23,2026-07-07,https://www.healthcareittoday.com/2026/02/23/lotus-just-raised-41m/,"Official press-release-derived investor list; stated use of funds; premium sponsorships as revenue mechanism",company_claim,high,"Lotus is designed to break that cycle by earning revenue through premium sponsorships inside the app, rather than billing patients when they get sick... provide Lotus with the additional infrastructure required to serve millions while continuing to build out a world-class clinical team and the runway to keep care free as the company scales","Reproduces company press release closely; investor list partially garbled in retrieval (OCR/formatting artifacts)","Most complete public statement of use-of-funds found"
L10,"Lotus (LinkedIn company profile via Exa)",LinkedIn / Exa aggregation,2026-05-22,2026-07-07,https://linkedin.com/company/lotushealthai,"Employee headcount estimate (5 employees, +375% YoY); department breakdown",estimate,low,"Lotus employs 5 people (+375.0% YoY) and has an annual revenue of $20.7M, founded in 2024","Third-party aggregator data of uncertain methodology; revenue figure ($20.7M) is an automated estimate, not corroborated anywhere else and treated as unreliable; conflicts with L11","Two LinkedIn-derived snapshots (L10 vs L11) are internally inconsistent (5 vs 70 employees) — flag as unresolved"
