"SECTION 1: ONE-WAY TORNADO SENSITIVITY (north-star metric, USD/patient/yr)"
pathway,model,assumption_id,assumption_label,base_north_star_usd_per_patient_per_yr,north_star_at_assumption_low_usd_per_patient_per_yr,north_star_at_assumption_high_usd_per_patient_per_yr,swing_usd_per_patient_per_yr,tornado_rank
traditional,A_programmatic_ads,A01,Care cost - traditional visit,-400.53,-379.33,-458.83,79.5,1
traditional,A_programmatic_ads,A13,Eligible patient volume,-400.53,-428.86,-396.0,32.87,2
traditional,A_programmatic_ads,A26,"Core-book trust-spillover rate (contagion term, v2)",-400.53,-397.29,-416.75,19.46,3
traditional,A_programmatic_ads,A06b,Engagement - ad sessions/patient/yr,-400.53,-401.6,-389.88,11.72,4
traditional,A_programmatic_ads,A08,Sales/servicing cost per contract,-400.53,-398.53,-405.53,7.0,5
traditional,A_programmatic_ads,A25,"Core-book revenue exposure per patient (contagion term, v2)",-400.53,-400.53,-406.6,6.07,6
traditional,A_programmatic_ads,A09,Compliance/legal cost,-400.53,-398.86,-403.86,5.0,7
traditional,A_programmatic_ads,A11,Trust churn - retention loss,-400.53,-400.47,-400.68,0.21,8
traditional,A_programmatic_ads,A10,Trust churn - booking conversion loss,-400.53,-400.48,-400.62,0.14,9
traditional,A_programmatic_ads,A05,Sponsor ARPU (Model B anchor),-400.53,-400.53,-400.53,0.0,10
traditional,A_programmatic_ads,A15,Sponsor ARPU - employer PEPM rate (Model D anchor),-400.53,-400.53,-400.53,0.0,11
traditional,A_programmatic_ads,A02,Care cost - AI-supported visit,-400.53,-400.53,-400.53,0.0,12
traditional,A_programmatic_ads,A02b,Care cost - AI-driven episode,-400.53,-400.53,-400.53,0.0,13
traditional,A_programmatic_ads,A21,Engagement - employer utilization adjustment,-400.53,-400.53,-400.53,0.0,14
traditional,A_programmatic_ads,A07,Sponsor renewal rate,-400.53,-400.53,-400.53,0.0,15
traditional,B_fixed_fee_sponsorship_external_anchor,A01,Care cost - traditional visit,-392.37,-371.17,-450.67,79.5,1
traditional,B_fixed_fee_sponsorship_external_anchor,A13,Eligible patient volume,-392.37,-420.7,-387.83,32.87,2
