name,role,organization,relevant_experience,why_relevant,public_profile_url,suggested_interview_topic,priority,contact_status
Ray Rosti,"President, Klick Media",Klick Health,"20+ years buying and pricing pharma digital media; held CDO and EVP Platform Activation roles at Publicis Health Media before Klick","Runs P&L for one of the two largest independent healthcare ad agencies; can speak to real pharma media rate cards, minimum spend thresholds, and how agencies price DTC campaigns","https://linkedin.com/in/rayrosti","How pharma media agencies set CPMs/minimum budgets for DTC health placements, and what scale a publisher needs before agencies will route brand dollars to it",P1,
Eric Solomon,"Practice Leader, Paid Media",Real Chemistry,"25+ years agency media; former EVP Media at Publicis Health Media managing 140+ person team across pharma/hospital clients","Senior paid-media buyer who can describe deal structuring, RFP processes, and what utilization/reporting pharma clients demand from a new publisher or platform","https://linkedin.com/in/eric-solomon-632ab564","What a pharma media buyer requires (audience size, verification, reporting cadence) before greenlighting spend on a new health platform",P1,
Leah Nebbia,"Managing Director, Corporate Pricing & Public Affairs",Real Chemistry,"Leads pharma pricing & access communications practice; PRWeek 40 Under 40; writes on drug pricing and access economics","Bridges pharma pricing/access communications with commercial strategy; useful for how pharma brands think about paying for patient access/affordability programs","https://linkedin.com/in/leah-nebbia-45590311","How pharma pricing & access teams evaluate sponsorship of patient-facing affordability or access programs, and internal approval timelines",P2,
Leslie Isenegger,"Practice Leader, Corporate Pricing & Public Affairs",Real Chemistry,"Co-leads Value & Access Communications practice; previously Syneos Health; frequent bylined author on drug value/pricing frameworks","Deep expertise translating pharma value-communication strategy into practical commercial programs, relevant to how a sponsor would frame a free-care partnership internally","https://linkedin.com/in/leslieisenegger","How pharma corporate affairs teams frame and justify sponsorship spend internally, and what value narrative is required to win budget",P2,
Kevin F. Condon,"Vice President, Strategy",Publicis Health Media,"12 years at Publicis Health Media across DTC and HCP media strategy and measurement","Mid-senior agency strategist who can speak to current DTC media planning norms and measurement expectations across disease categories","https://linkedin.com/in/kevinfcondon","Current DTC media planning benchmarks and what 'proof of measurement' pharma clients require before scaling spend on a new channel",P3,
David Candell,"Director, Strategy",Publicis Health,"10 years across pharma, medtech, payer and public-sector healthcare commercialization; multi-million dollar annual planning and investment optimization","Can speak to cross-category budget allocation logic and how agencies model tradeoffs between channels including sponsorship-type placements","https://linkedin.com/in/david-candell","How agencies build the business case for allocating pharma budget to a new sponsorship channel versus existing DTC channels",P3,
Wendy Barnes,"President & CEO",GoodRx,"CEO since Dec 2024; oversees GoodRx's pivot toward Pharma Direct (manufacturer-sponsored consumer pricing) as the company's primary growth engine","Runs the closest public-market comparable to a sponsor-monetized consumer health platform; GoodRx's Q1 2026 earnings show Pharma Direct revenue up 82% YoY, with ~200 manufacturer partnerships live","https://linkedin.com/in/wendy--barnes","How GoodRx structures manufacturer-sponsored pricing deals, minimum program scale, and why 'self-pay direct-to-consumer' is displacing legacy PBM-based monetization",P1,
Laura Jensen,"Chief Commercial Officer & President, Pharma Direct",GoodRx,"Joined GoodRx from Amazon Pharmacy (Head of Manufacturer & Prescriber Business Development); now runs GoodRx's manufacturer-sponsored commercial unit","Directly owns pharma manufacturer deal-making at GoodRx and previously built the analogous business at Amazon Pharmacy; best available proxy for real-world sponsor deal mechanics and minimum scale requirements","https://linkedin.com/in/laura-jensen-4146768","Deal structure, minimum patient volume, and reporting requirements pharma manufacturers impose before funding a sponsored-access program",P1,
Amy Zajac,"Senior Vice President, Medscape & WebMD",WebMD,"20+ years building WebMD/Medscape's sponsorship, custom content, and programmatic monetization for pharma and consumer CPG clients","Long-tenured executive who has personally negotiated large corporate sponsorship and data-monetization deals with pharma manufacturers","https://linkedin.com/in/amy-zajac-241b203","How WebMD prices and structures sponsorship/custom-content deals with pharma manufacturers, and what targeting/reporting they contractually require",P2,
Christopher DeGeorge,"Senior Director, Consumer Pharma",WebMD,"Manages $17.5M+ in annual consumer Rx advertising revenue for WebMD","Tactical, current view of consumer Rx ad budgets and what accounts actually spend per program at a major health media publisher","https://linkedin.com/in/christopherdegeorge","Typical minimum contract size and renewal cadence for consumer Rx advertising programs on a health media platform",P3,
Craig Bryant,"Director, Advertising Sales",Healthline Media,"Sells custom sponsorships and mobile programs across Healthline's 74M-user health audience; previously at WebMD/Medscape","Can describe how a scaled consumer health publisher packages 'custom sponsorship' products for pharma and CPG buyers","https://linkedin.com/in/craig-bryant-b719b34b","How Healthline packages and prices custom sponsorship products, and audience-scale thresholds required to attract pharma sponsors",P3,
Kerry Valdesalice,"SVP, Pharmaceutical Partnerships",Doximity,"20+ years in pharma digital media; leads AI-driven content and media partnerships with pharma manufacturers on Doximity's physician network","Senior deal-owner for a HIPAA-compliant, physician-facing platform monetized through pharma partnerships -- structurally close to a clinician-trust-dependent sponsorship model","https://linkedin.com/in/kerryv","How Doximity balances physician trust/clinical credibility with pharma partnership revenue, and what compliance guardrails pharma demands",P2,
